dte,openclose,eventName,eventTime
6/17/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
6/18/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
6/19/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
6/20/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
6/20/2018,,BLMA Board Meeting,5:00pm - 6:30pm
6/21/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
6/22/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
6/23/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
6/24/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
6/25/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
6/26/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
6/27/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
6/28/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
6/29/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
6/30/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
7/1/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
7/2/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
7/3/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
7/4/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
7/5/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
7/6/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
7/7/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
7/8/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
7/9/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
7/10/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
7/11/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
7/12/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
7/13/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
7/14/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
7/15/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
7/16/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
7/17/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
7/18/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
7/18/2018,,BLMA Board Meeting,5:00pm - 6:30pm
7/19/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
7/20/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
7/21/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
7/22/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
7/23/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
7/24/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
7/25/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
7/26/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
7/27/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
7/28/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
7/29/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
7/30/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
7/31/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
8/1/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
8/2/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
8/3/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
8/4/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
8/5/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
8/6/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
8/7/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
8/8/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
8/9/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
8/10/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
8/11/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
8/12/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
8/13/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
8/14/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
8/15/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
8/15/2018,,BLMA Board Meeting,5:00pm - 6:30pm
8/16/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
8/17/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
8/18/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
8/19/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
8/20/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
8/21/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
8/22/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
8/23/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
8/24/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
8/25/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
8/26/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
8/27/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
8/28/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
8/29/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
8/30/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
8/31/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
9/1/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
9/2/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
9/3/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
9/4/2018,The Museum is closed today,The Museum is closed today,
9/5/2018,The Museum is closed today,The Museum is closed today,
9/6/2018,The Museum is closed today,The Museum is closed today,
9/7/2018,The Museum is closed today,The Museum is closed today,
9/8/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
9/9/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
9/10/2018,The Museum is closed today,The Museum is closed today,
9/11/2018,The Museum is closed today,The Museum is closed today,
9/12/2018,The Museum is closed today,The Museum is closed today,
9/13/2018,The Museum is closed today,The Museum is closed today,
9/14/2018,The Museum is closed today,The Museum is closed today,
9/15/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
9/16/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
9/17/2018,The Museum is closed today,The Museum is closed today,
9/18/2018,The Museum is closed today,The Museum is closed today,
9/19/2018,The Museum is closed today,The Museum is closed today,
9/19/2018,,BLMA Board Meeting,5:00pm - 6:30pm
9/20/2018,The Museum is closed today,The Museum is closed today,
9/21/2018,The Museum is closed today,The Museum is closed today,
9/22/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
9/23/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
9/24/2018,The Museum is closed today,The Museum is closed today,
9/25/2018,The Museum is closed today,The Museum is closed today,
9/26/2018,The Museum is closed today,The Museum is closed today,
9/27/2018,The Museum is closed today,The Museum is closed today,
9/28/2018,The Museum is closed today,The Museum is closed today,
9/29/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
9/30/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
10/1/2018,The Museum is closed today,The Museum is closed today,
10/2/2018,The Museum is closed today,The Museum is closed today,
10/3/2018,The Museum is closed today,The Museum is closed today,
10/4/2018,The Museum is closed today,The Museum is closed today,
10/5/2018,The Museum is closed today,The Museum is closed today,
10/6/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
10/7/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
10/8/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
10/9/2018,The Museum is closed today,The Museum is closed today,
10/10/2018,The Museum is closed today,The Museum is closed today,
10/11/2018,The Museum is closed today,The Museum is closed today,
10/12/2018,The Museum is closed today,The Museum is closed today,
10/13/2018,The Museum is closed today,The Museum is closed today,
10/14/2018,The Museum is closed today,The Museum is closed today,
10/15/2018,The Museum is closed today,The Museum is closed today,
10/16/2018,The Museum is closed today,The Museum is closed today,
10/17/2018,The Museum is closed today,The Museum is closed today,
10/17/2018,,BLMA Board Meeting,5:00pm - 6:30pm
10/18/2018,The Museum is closed today,The Museum is closed today,
10/19/2018,The Museum is closed today,The Museum is closed today,
10/20/2018,The Museum is closed today,The Museum is closed today,
10/21/2018,The Museum is closed today,The Museum is closed today,
10/22/2018,The Museum is closed today,The Museum is closed today,
10/23/2018,The Museum is closed today,The Museum is closed today,
10/24/2018,The Museum is closed today,The Museum is closed today,
10/25/2018,The Museum is closed today,The Museum is closed today,
10/26/2018,The Museum is closed today,The Museum is closed today,
10/27/2018,The Museum is closed today,The Museum is closed today,
10/28/2018,The Museum is closed today,The Museum is closed today,
10/29/2018,The Museum is closed today,The Museum is closed today,
10/30/2018,The Museum is closed today,The Museum is closed today,
10/31/2018,The Museum is closed today,The Museum is closed today,
11/1/2018,The Museum is closed today,The Museum is closed today,
11/2/2018,The Museum is closed today,The Museum is closed today,
11/3/2018,The Museum is closed today,The Museum is closed today,
11/4/2018,The Museum is closed today,The Museum is closed today,
11/5/2018,The Museum is closed today,The Museum is closed today,
11/6/2018,The Museum is closed today,The Museum is closed today,
11/7/2018,The Museum is closed today,The Museum is closed today,
11/8/2018,The Museum is closed today,The Museum is closed today,
11/9/2018,The Museum is closed today,The Museum is closed today,
11/10/2018,The Museum is closed today,The Museum is closed today,
11/11/2018,The Museum is closed today,The Museum is closed today,
11/12/2018,The Museum is closed today,The Museum is closed today,
11/13/2018,The Museum is closed today,The Museum is closed today,
11/14/2018,The Museum is closed today,The Museum is closed today,
11/15/2018,The Museum is closed today,The Museum is closed today,
11/16/2018,The Museum is closed today,The Museum is closed today,
11/17/2018,The Museum is closed today,The Museum is closed today,
11/18/2018,The Museum is closed today,The Museum is closed today,
11/19/2018,The Museum is closed today,The Museum is closed today,
11/20/2018,The Museum is closed today,The Museum is closed today,
11/21/2018,The Museum is closed today,The Museum is closed today,
11/21/2018,,BLMA Board Meeting,5:00pm - 6:30pm
11/22/2018,The Museum is closed today,The Museum is closed today,
11/23/2018,The Museum is closed today,The Museum is closed today,
11/24/2018,The Museum is closed today,The Museum is closed today,
11/25/2018,The Museum is closed today,The Museum is closed today,
11/26/2018,The Museum is closed today,The Museum is closed today,
11/27/2018,The Museum is closed today,The Museum is closed today,
11/28/2018,The Museum is closed today,The Museum is closed today,
11/29/2018,The Museum is closed today,The Museum is closed today,
11/30/2018,The Museum is closed today,The Museum is closed today,
12/1/2018,The Museum is closed today,The Museum is closed today,
12/2/2018,The Museum is closed today,The Museum is closed today,
12/3/2018,The Museum is closed today,The Museum is closed today,
12/4/2018,The Museum is closed today,The Museum is closed today,
12/5/2018,The Museum is closed today,The Museum is closed today,
12/6/2018,The Museum is closed today,The Museum is closed today,
12/7/2018,The Museum is closed today,The Museum is closed today,
12/8/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
12/9/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
12/10/2018,The Museum is closed today,The Museum is closed today,
12/11/2018,The Museum is closed today,The Museum is closed today,
12/12/2018,The Museum is closed today,The Museum is closed today,
12/13/2018,The Museum is closed today,The Museum is closed today,
12/14/2018,The Museum is closed today,The Museum is closed today,
12/15/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
12/16/2018,The Museum is open today from 10:30 AM until 4:30 PM,The Museum is open,10:30pm - 4:30pm
12/17/2018,The Museum is closed today,The Museum is closed today,
12/18/2018,The Museum is closed today,The Museum is closed today,
12/19/2018,The Museum is closed today,The Museum is closed today,
12/19/2018,,BLMA Board Meeting,5:00pm - 6:30pm
12/20/2018,The Museum is closed today,The Museum is closed today,
12/21/2018,The Museum is closed today,The Museum is closed today,
12/22/2018,The Museum is closed today,The Museum is closed today,
12/23/2018,The Museum is closed today,The Museum is closed today,
12/24/2018,The Museum is closed today,The Museum is closed today,
12/25/2018,The Museum is closed today,The Museum is closed today,
12/26/2018,The Museum is closed today,The Museum is closed today,
12/27/2018,The Museum is closed today,The Museum is closed today,
12/28/2018,The Museum is closed today,The Museum is closed today,
12/29/2018,The Museum is closed today,The Museum is closed today,
12/30/2018,The Museum is closed today,The Museum is closed today,
12/31/2018,The Museum is closed today,The Museum is closed today,
1/23/2018,,Tower Opening,1:00pm - 3:00pm
